,Bedrooms,Bathrooms,Status,Size,Location,Price,Facing,Type
787,0,0,0,864,56,10.0,0,3
788,0,0,0,2250,56,28.75,8,3
789,0,0,0,2700,56,34.5,8,3
790,0,0,0,1800,56,23.0,8,3
791,0,0,0,1647,56,21.04,8,3
792,0,0,0,1350,56,17.25,8,3
793,0,0,0,900,56,11.5,1,3
794,0,0,0,3150,56,40.25,2,3
795,0,0,0,2700,56,34.5,2,3
796,0,0,0,2250,56,28.75,2,3
797,0,0,0,1800,56,23.0,2,3
798,0,0,0,1647,56,21.04,2,3
799,0,0,0,1350,56,17.25,2,3
800,0,0,0,1080,47,5.38,1,3
801,0,0,0,1350,77,5.99,1,3
802,2,2,1,1500,54,59.99,1,3
804,3,3,1,1750,69,64.0,1,3
805,2,2,1,1100,1,37.4,1,3
806,4,4,1,1800,19,119.0,1,3
807,2,2,1,1100,1,38.0,1,3
811,0,0,0,1818,22,35.35,0,2
812,0,0,0,1719,22,31.51,1,0
813,0,0,0,1395,13,27.9,1,0
814,0,0,0,1890,13,37.8,1,0
815,0,0,0,1467,13,29.16,8,2
816,0,0,0,1458,13,29.16,8,0
817,0,0,0,1440,13,28.8,8,2
818,0,0,0,2700,31,50.7,2,2
819,0,0,0,1503,31,54.0,1,0
820,0,0,0,1944,13,25.92,1,3
821,0,0,0,1971,13,26.28,1,3
822,0,0,0,2016,13,26.88,1,3
823,0,0,0,2034,13,27.12,8,3
824,0,0,0,2052,13,26.22,8,3
825,0,0,0,2097,13,26.22,8,3
826,0,0,0,1881,13,25.08,1,3
827,0,0,0,1890,13,25.2,1,3
828,0,0,0,3996,13,53.28,0,3
829,0,0,0,2763,13,36.84,0,3
830,0,0,0,280,13,33.6,0,3
831,0,0,0,2142,13,44.03,0,3
832,0,0,0,1503,22,27.55,0,3
833,0,0,0,1557,22,28.54,0,3
834,0,0,0,2763,13,36.84,1,3
835,0,0,0,1935,13,25.8,1,3
836,0,0,0,280,13,33.6,1,3
837,0,0,0,2187,22,48.6,4,3
838,0,0,0,3942,13,50.37,3,3
839,0,0,0,1953,22,43.4,4,3
840,0,0,0,3483,13,46.4,3,3
841,0,0,0,1476,22,26.07,0,3
842,0,0,0,2574,22,47.19,0,3
843,0,0,0,3366,13,44.88,3,3
844,0,0,0,1764,22,31.16,8,3
845,0,0,0,2439,13,32.52,3,3
846,0,0,0,1350,22,23.85,8,3
847,0,0,0,1989,13,26.52,3,3
848,0,0,0,1818,22,40.4,0,3
850,0,0,0,1854,13,24.72,1,3
852,0,0,0,1863,13,24.84,8,3
853,0,0,0,4077,13,54.36,0,3
854,0,0,0,2394,13,30.59,8,3
855,0,0,0,2862,22,63.6,7,3
856,0,0,0,2403,13,32.04,8,3
857,0,0,0,2943,13,39.24,8,3
858,0,0,0,1764,22,31.16,0,3
859,0,0,0,2304,13,30.72,4,3
860,0,0,0,1350,22,23.85,8,3
861,0,0,0,2376,22,43.56,0,3
862,0,0,0,1971,22,36.13,0,3
863,0,0,0,2430,13,27.84,0,3
864,0,0,0,1908,22,33.7,8,3
866,0,0,0,2052,13,26.22,8,3
867,0,0,0,2097,13,27.96,8,3
868,0,0,0,2142,13,28.56,8,3
869,0,0,0,2169,13,28.92,8,3
870,0,0,0,2187,13,29.16,8,3
871,0,0,0,2232,13,29.76,8,3
872,0,0,0,2385,13,31.8,8,3
873,0,0,0,2016,13,26.88,8,3
874,0,0,0,2394,13,27.12,8,3
875,0,0,0,3024,13,60.48,1,3
876,0,0,0,1458,13,19.44,1,3
877,0,0,0,1305,20,17.4,0,3
878,0,0,0,1440,13,19.2,1,3
879,0,0,0,1350,20,18.0,0,3
880,0,0,0,1278,20,17.04,0,3
881,0,0,0,1602,20,35.6,6,3
882,0,0,0,1215,20,15.52,8,3
883,0,0,0,1413,20,18.05,8,3
884,0,0,0,173,13,31.14,8,3
885,0,0,0,1512,13,30.96,8,3
886,0,0,0,1512,13,30.24,8,3
887,0,0,0,1503,13,30.06,8,3
888,0,0,0,1467,13,29.34,8,3
889,0,0,0,1458,13,29.16,8,3
890,0,0,0,1440,13,28.8,8,3
891,0,0,0,1395,13,27.9,1,3
892,0,0,0,2340,13,48.1,0,3
893,0,0,0,1908,13,39.22,0,3
894,0,0,0,3150,13,63.0,8,3
895,0,0,0,1710,13,34.2,8,3
896,0,0,0,1395,13,27.9,8,3
897,0,0,0,1458,13,29.16,8,3
898,0,0,0,2088,13,42.92,0,3
899,0,0,0,1953,13,40.14,0,3
900,0,0,0,2142,13,44.03,0,3
901,0,0,0,1890,13,37.8,8,3
902,0,0,0,1647,7,33.85,0,3
903,0,0,0,2142,7,42.84,1,3
904,0,0,0,1260,20,16.1,8,3
905,0,0,0,1251,20,15.98,8,3
906,0,0,0,1458,20,19.44,1,3
907,0,0,0,1503,22,30.89,0,3
908,0,0,0,1278,20,17.04,1,3
909,0,0,0,1647,22,33.85,0,3
910,0,0,0,2142,13,44.03,0,3
911,0,0,0,1395,13,2.79,8,3
912,0,0,0,3942,13,87.6,3,3
913,0,0,0,2943,13,58.86,8,3
914,0,0,0,3222,22,64.44,8,3
915,0,0,0,1647,22,32.94,8,3
916,0,0,0,1962,22,40.33,0,3
917,0,0,0,2169,13,44.58,8,3
918,0,0,0,2385,13,47.7,8,3
919,0,0,0,2088,13,27.84,1,3
920,0,0,0,1953,13,26.04,1,3
921,0,0,0,1809,13,24.12,1,3
922,0,0,0,1773,13,23.64,1,3
923,0,0,0,1557,13,20.76,1,3
924,0,0,0,1557,22,32.0,0,3
926,0,0,0,2403,13,32.04,1,3
927,0,0,0,1782,22,35.64,8,3
928,0,0,0,2943,13,39.24,8,3
929,0,0,0,1674,13,32.94,8,3
930,0,0,0,3213,13,71.4,4,3
